w	r	m	t	d
朝日	あさひ	朝にのぼる太陽やその光		
雨	あめ	空から降ってくる水		
家鴨	あひる	水辺で飼われる家禽		
秋	あき	実りの季節、四季のひとつ		
青	あお	空や海に例えられる色		
欠伸	あくび	眠い時などに出る呼吸動作		
犬	いぬ	人によく飼われる代表的な動物		
家	いえ	人が住むための建物		
椅子	いす	座るための家具		
苺	いちご	赤く甘酸っぱい果実		
命	いのち	生きていること、生命		
井戸	いど	地下水をくみ上げる穴		
海	うみ	広く塩水をたたえた水域		
馬	うま	人を乗せて走る動物		
歌	うた	声で奏でる音楽		
団扇	うちわ	あおいで風を送る道具		
饂飩	うどん	小麦粉から作る麺料理		
絵本	えほん	絵の多い子ども向けの本		
駅	えき	列車が発着する施設		
鉛筆	えんぴつ	芯で書く筆記具		
枝	えだ	木から伸びる部分		
音	おと	耳に聞こえる響き		
お菓子	おかし	甘い食べ物の総称		
鬼	おに	伝説上の恐ろしい存在		
音楽	おんがく	音を組み合わせた芸術		
傘	かさ	雨をしのぐための道具		
亀	かめ	甲羅を持つ爬虫類		
風	かぜ	空気の流れ		
鏡	かがみ	姿を映す道具		
蟹	かに	はさみを持つ甲殻類		
雷	かみなり	稲光とともに鳴る音		
学校	がっこう	学ぶための施設		
画家	がか	絵を描くことを仕事にする人		
狐	きつね	細長い尾を持つ動物		
着物	きもの	日本の伝統的な衣服		
菊	きく	秋に咲く花		
汽車	きしゃ	蒸気の力で走る列車		
銀行	ぎんこう	お金を預けたり借りたりする機関		
疑問	ぎもん	わからないこと、疑わしいこと		
雲	くも	空に浮かぶ水蒸気の塊		
靴	くつ	足に履くもの		
鯨	くじら	海に住む巨大な哺乳類		
栗	くり	秋のとげのある実		
軍手	ぐんて	作業用の白い手袋		
具合	ぐあい	体や物事の状態		
毛糸	けいと	編み物に使う糸		
煙	けむり	物が燃える時に出るもの		
消しゴム	けしごむ	鉛筆の字を消す道具		
玄関	げんかん	家の出入り口		
下駄	げた	木でできた伝統的な履物		
氷	こおり	水が凍ったもの		
子供	こども	年齢の若い人		
こけし	こけし	木でできた日本の人形		
蟋蟀	こおろぎ	秋に鳴く昆虫		
ご飯	ごはん	炊いた米の食事		
胡麻	ごま	小さな種を使う調味料		
桜	さくら	春に咲く薄紅色の花		
魚	さかな	水中に住む生き物		
財布	さいふ	お金を入れて持ち歩く袋		
猿	さる	木に登る霊長類		
雑誌	ざっし	定期的に発行される読み物		
笊	ざる	水を切るための編み籠		
塩	しお	海水などから作る調味料		
鹿	しか	角を持つ動物		
新聞	しんぶん	日々の出来事を伝える紙		
城	しろ	かつて武士が構えた館		
自転車	じてんしゃ	ペダルで走る二輪車		
地震	じしん	大地が揺れる自然現象		
西瓜	すいか	夏に実る大きな果物		
雀	すずめ	身近でよく見る小鳥		
寿司	すし	酢飯を使った日本料理		
水筒	すいとう	飲み物を入れて持ち運ぶ容器		
頭脳	ずのう	物を考える力、脳のはたらき		
頭巾	ずきん	頭にかぶる布の防寒具		
世界	せかい	地球上のすべての国や地域		
蝉	せみ	夏に鳴く昆虫		
扇風機	せんぷうき	風を送る電化製品		
発条	ぜんまい	時計などを動かすばね状の部品		
贅沢	ぜいたく	必要以上にお金や物を使うこと		
空	そら	頭上に広がる大気		
蕎麦	そば	細長い麺料理のひとつ		
掃除機	そうじき	ごみを吸い取る電化製品		
雑巾	ぞうきん	拭き掃除に使う布		
象	ぞう	鼻の長い大きな動物		
太鼓	たいこ	打ち鳴らして音を出す楽器		
卵	たまご	鳥などが産む殻に包まれた実		
滝	たき	高い所から水が落ちる場所		
